filename	round2plate	round1index	well	plate	group	donor	recipient
16S-B-F4-L2	B	2	F4	e0059-B-5	e0059	XEB-029	rumin-dropped
16S-B-G4-L2	B	2	G4	e0059-B-5	e0059	XEB-029	strep-dropped
16S-B-H4-L2	B	2	H4	e0059-B-5	e0059	XEB-029	one-bacte-dropped
16S-B-A5-L2	B	2	A5	e0059-B-5	e0059	XFB-029	blank
16S-B-B5-L2	B	2	B5	e0059-B-5	e0059	XFB-029	full-community
16S-B-C5-L2	B	2	C5	e0059-B-5	e0059	XFB-029	bacte-dropped
16S-B-D5-L2	B	2	D5	e0059-B-5	e0059	XFB-029	bacte-dropped-half_1-2
16S-B-E5-L2	B	2	E5	e0059-B-5	e0059	XFB-029	lachn-dropped
16S-B-F5-L2	B	2	F5	e0059-B-5	e0059	XFB-029	rumin-dropped
16S-B-G5-L2	B	2	G5	e0059-B-5	e0059	XFB-029	strep-dropped
16S-B-H5-L2	B	2	H5	e0059-B-5	e0059	XFB-029	one-bacte-dropped
16S-B-A6-L2	B	2	A6	e0059-B-5	e0059	XGB-029	blank
16S-B-B6-L2	B	2	B6	e0059-B-5	e0059	XGB-029	full-community
16S-B-C6-L2	B	2	C6	e0059-B-5	e0059	XGB-029	bacte-dropped
16S-B-D6-L2	B	2	D6	e0059-B-5	e0059	XGB-029	bacte-dropped-half_1-2
16S-B-E6-L2	B	2	E6	e0059-B-5	e0059	XGB-029	lachn-dropped
16S-B-F6-L2	B	2	F6	e0059-B-5	e0059	XGB-029	rumin-dropped
16S-B-G6-L2	B	2	G6	e0059-B-5	e0059	XGB-029	strep-dropped
16S-B-H6-L2	B	2	H6	e0059-B-5	e0059	XGB-029	one-bacte-dropped
16S-B-A7-L2	B	2	A7	e0059-B-5	e0059	XHB-029	blank
16S-B-B7-L2	B	2	B7	e0059-B-5	e0059	XHB-029	full-community
16S-B-C7-L2	B	2	C7	e0059-B-5	e0059	XHB-029	bacte-dropped
16S-B-D7-L2	B	2	D7	e0059-B-5	e0059	XHB-029	bacte-dropped-half_1-2
16S-B-E7-L2	B	2	E7	e0059-B-5	e0059	XHB-029	lachn-dropped
16S-B-F7-L2	B	2	F7	e0059-B-5	e0059	XHB-029	rumin-dropped
16S-B-G7-L2	B	2	G7	e0059-B-5	e0059	XHB-029	strep-dropped
16S-B-H7-L2	B	2	H7	e0059-B-5	e0059	XHB-029	one-bacte-dropped
16S-B-A8-L2	B	2	A8	e0059-B-5	e0059	XIB-029	blank
16S-B-B8-L2	B	2	B8	e0059-B-5	e0059	XIB-029	full-community
16S-B-C8-L2	B	2	C8	e0059-B-5	e0059	XIB-029	bacte-dropped
16S-B-D8-L2	B	2	D8	e0059-B-5	e0059	XIB-029	bacte-dropped-half_1-2
16S-B-E8-L2	B	2	E8	e0059-B-5	e0059	XIB-029	lachn-dropped
16S-B-F8-L2	B	2	F8	e0059-B-5	e0059	XIB-029	rumin-dropped
16S-B-G8-L2	B	2	G8	e0059-B-5	e0059	XIB-029	strep-dropped
16S-B-H8-L2	B	2	H8	e0059-B-5	e0059	XIB-029	one-bacte-dropped
16S-B-A9-L2	B	2	A9	e0059-B-5	e0059	XJB-029	blank
16S-B-B9-L2	B	2	B9	e0059-B-5	e0059	XJB-029	full-community
16S-B-C9-L2	B	2	C9	e0059-B-5	e0059	XJB-029	bacte-dropped
16S-B-D9-L2	B	2	D9	e0059-B-5	e0059	XJB-029	bacte-dropped-half_1-2
16S-B-E9-L2	B	2	E9	e0059-B-5	e0059	XJB-029	lachn-dropped
16S-B-F9-L2	B	2	F9	e0059-B-5	e0059	XJB-029	rumin-dropped
16S-B-G9-L2	B	2	G9	e0059-B-5	e0059	XJB-029	strep-dropped
16S-B-H9-L2	B	2	H9	e0059-B-5	e0059	XJB-029	one-bacte-dropped
