"level" "taxa" "taxashort" "hex" "R" "G" "B"
"4" "Bacteria.Chloroflexi.Chloroflexi.Chloroflexales" "Chloroflexales" "#099500" "0.0344827586206897" "0.586206896551724" "0"
"4" "Bacteria.Chloroflexi.Chloroflexi.[Roseiflexales]" "[Roseiflexales]" "#9E6AB9" "0.620689655172414" "0.413793103448276" "0.724137931034483"
"4" "Bacteria.Chloroflexi.Ellin6529." "" "#FFFF72" "1" "1" "0.448275862068966"
"4" "Bacteria.Chloroflexi.Gitt-GS-136." "" "#A7F6CA" "0.655172413793103" "0.96551724137931" "0.793103448275862"
"4" "Bacteria.Chloroflexi.S085." "" "#95B0B9" "0.586206896551724" "0.689655172413793" "0.724137931034483"
"4" "Bacteria.Chloroflexi.TK10.Other" "TK10;Other" "#B0B009" "0.689655172413793" "0.689655172413793" "0.0344827586206897"
"4" "Bacteria.Chloroflexi.Thermomicrobia." "" "#2C004F" "0.172413793103448" "0" "0.310344827586207"
"4" "Bacteria.Chloroflexi.Thermomicrobia.JG30-KF-CM45" "JG30-KF-CM45" "#00CAFF" "0" "0.793103448275862" "1"
"4" "Bacteria.Chloroflexi.Thermomicrobia.Sphaerobacterales" "Sphaerobacterales" "#4F2300" "0.310344827586207" "0.137931034482759" "0"
"4" "Bacteria.Cyanobacteria.4C0d-2.MLE1-12" "MLE1-12" "#00B9A7" "0" "0.724137931034483" "0.655172413793103"
"4" "Bacteria.Cyanobacteria.4C0d-2.YS2" "YS2" "#9E0035" "0.620689655172414" "0" "0.206896551724138"
"4" "Bacteria.Cyanobacteria.Chloroplast." "" "#4F7BB0" "0.310344827586207" "0.482758620689655" "0.689655172413793"
"4" "Bacteria.Cyanobacteria.Chloroplast.CAB-I" "CAB-I" "#1A46C1" "0.103448275862069" "0.275862068965517" "0.758620689655172"
"4" "Bacteria.Cyanobacteria.Chloroplast.Chlorophyta" "Chlorophyta" "#58D300" "0.344827586206897" "0.827586206896552" "0"
"4" "Bacteria.Cyanobacteria.Chloroplast.Stramenopiles" "Stramenopiles" "#729535" "0.448275862068966" "0.586206896551724" "0.206896551724138"
"4" "Bacteria.Cyanobacteria.Chloroplast.Streptophyta" "Streptophyta" "#E5A735" "0.896551724137931" "0.655172413793103" "0.206896551724138"
"4" "Bacteria.Cyanobacteria.ML635J-21." "" "#F68D95" "0.96551724137931" "0.551724137931034" "0.586206896551724"
"4" "Bacteria.Cyanobacteria.Nostocophycideae.Nostocales" "Nostocales" "#6A128D" "0.413793103448276" "0.0689655172413793" "0.551724137931034"
"4" "Bacteria.Cyanobacteria.Oscillatoriophycideae.Chroococcales" "Chroococcales" "#E561C1" "0.896551724137931" "0.379310344827586" "0.758620689655172"
"4" "Bacteria.Cyanobacteria.Oscillatoriophycideae.Oscillatoriales" "Oscillatoriales" "#EDD3FF" "0.931034482758621" "0.827586206896552" "1"
"4" "Bacteria.Cyanobacteria.Synechococcophycideae.Pseudanabaenales" "Pseudanabaenales" "#9EFF9E" "0.620689655172414" "1" "0.620689655172414"
"4" "Bacteria.Cyanobacteria.Synechococcophycideae.Synechococcales" "Synechococcales" "#FF4FF6" "1" "0.310344827586207" "0.96551724137931"
"4" "Bacteria.Deferribacteres.Deferribacteres.Deferribacterales" "Deferribacterales" "#9561FF" "0.586206896551724" "0.379310344827586" "1"
"4" "Bacteria.Firmicutes.Bacilli.Bacillales" "Bacillales" "#C1B961" "0.758620689655172" "0.724137931034483" "0.379310344827586"
"4" "Bacteria.Firmicutes.Bacilli.Gemellales" "Gemellales" "#ED2C35" "0.931034482758621" "0.172413793103448" "0.206896551724138"
"4" "Bacteria.Firmicutes.Bacilli.Lactobacillales" "Lactobacillales" "#B06A84" "0.689655172413793" "0.413793103448276" "0.517241379310345"
"4" "Bacteria.Firmicutes.Bacilli.Turicibacterales" "Turicibacterales" "#462C58" "0.275862068965517" "0.172413793103448" "0.344827586206897"
"4" "Bacteria.Firmicutes.Clostridia.Other" "Clostridia;Other" "#B98458" "0.724137931034483" "0.517241379310345" "0.344827586206897"
"4" "Bacteria.Firmicutes.Clostridia.Clostridiales" "Clostridiales" "#8D09FF" "0.551724137931034" "0.0344827586206897" "1"
"4" "Bacteria.Firmicutes.Clostridia.SHA-98" "SHA-98" "#464F00" "0.275862068965517" "0.310344827586207" "0"
"4" "Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales" "Thermoanaerobacterales" "#DCD3B0" "0.862068965517241" "0.827586206896552" "0.689655172413793"
"4" "Bacteria.Firmicutes.Bacilli.Erysipelotrichales" "Erysipelotrichales" "#E595FF" "0.896551724137931" "0.586206896551724" "1"
"4" "Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales" "Fusobacteriales" "#000009" "0" "0" "0.0344827586206897"
"4" "Bacteria.Gemmatimonadetes.Gemm-3." "" "#613E3E" "0.379310344827586" "0.241379310344828" "0.241379310344828"
"4" "Bacteria.Gemmatimonadetes.Gemm-5." "" "#ED0084" "0.931034482758621" "0" "0.517241379310345"
"4" "Bacteria.Gemmatimonadetes.Gemmatimonadetes." "" "#B00095" "0.689655172413793" "0" "0.586206896551724"
"4" "Bacteria.Gemmatimonadetes.Gemmatimonadetes.Ellin5290" "Ellin5290" "#6A0000" "0.413793103448276" "0" "0"
"4" "Bacteria.Gemmatimonadetes.Gemmatimonadetes.Gemmatimonadales" "Gemmatimonadales" "#B9A7FF" "0.724137931034483" "0.655172413793103" "1"
"4" "Bacteria.Verrucomicrobiota.Lentisphaeria.Victivallales" "Victivallales" "#A795C1" "0.655172413793103" "0.586206896551724" "0.758620689655172"
"4" "Bacteria.Nitrospirae.Nitrospira.Nitrospirales" "Nitrospirales" "#842C4F" "0.517241379310345" "0.172413793103448" "0.310344827586207"
"4" "Bacteria.Planctomycetes.028H05-P-BN-P5." "" "#727B72" "0.448275862068966" "0.482758620689655" "0.448275862068966"
"4" "Bacteria.Planctomycetes.Phycisphaerae.Phycisphaerales" "Phycisphaerales" "#DC4600" "0.862068965517241" "0.275862068965517" "0"
"4" "Bacteria.Planctomycetes.Phycisphaerae.WD2101" "WD2101" "#093500" "0.0344827586206897" "0.206896551724138" "0"
"4" "Bacteria.Planctomycetes.Planctomycetia.Gemmatales" "Gemmatales" "#95CA7B" "0.586206896551724" "0.793103448275862" "0.482758620689655"
"4" "Bacteria.Planctomycetes.Planctomycetia.Pirellulales" "Pirellulales" "#0012D3" "0" "0.0689655172413793" "0.827586206896552"
"4" "Bacteria.Planctomycetes.Planctomycetia.Planctomycetales" "Planctomycetales" "#B9EDFF" "0.724137931034483" "0.931034482758621" "1"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria." "" "#583E95" "0.344827586206897" "0.241379310344828" "0.586206896551724"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria.BD7-3" "BD7-3" "#468446" "0.275862068965517" "0.517241379310345" "0.275862068965517"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales" "Caulobacterales" "#B0FF4F" "0.689655172413793" "1" "0.310344827586207"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria.Ellin329" "Ellin329" "#46CA58" "0.275862068965517" "0.793103448275862" "0.344827586206897"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria.RF32" "RF32" "#E5586A" "0.896551724137931" "0.344827586206897" "0.413793103448276"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales" "Rhizobiales" "#ED8D46" "0.931034482758621" "0.551724137931034" "0.275862068965517"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales" "Rhodobacterales" "#7B4F12" "0.482758620689655" "0.310344827586207" "0.0689655172413793"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales" "Rhodospirillales" "#6172CA" "0.379310344827586" "0.448275862068966" "0.793103448275862"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria.Rickettsiales" "Rickettsiales" "#00FFED" "0" "1" "0.931034482758621"
"4" "Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales" "Sphingomonadales" "#4F9584" "0.310344827586207" "0.586206896551724" "0.517241379310345"
